Contract Number,Vendor Number,Vendor Name,Amount,Description,System Release,Lead Department,Start Date,End Date,Category,Commodity Category
08-53-384,803060,DUNBAR ARMORED INC,150548.00,ARMORED CAR SERVICE,10/29/2008,1110.COUNTY CLERK,06/01/2009,11/30/2011,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/08-53-384.pdf),
08-41-366,77542,BMC SOFTWARE INC,1080831.00,COMPUTER SOFTWARE MAINTENANCE,12/04/2008,1012.DEPARTMENT OF MIS,03/15/2008,03/14/2013,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/08-41-366.pdf),
08-41-320,77803,ESRI INC,2550000.00,COMPUTER ACCESSORIES,12/08/2008,1545.GEOGRAPHICAL INFO SYSTEM - GIS,03/01/2009,02/28/2012,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/08-41-320.pdf),
08-53-233,81559,ANCHOR MECHANICAL INC,5609832.00,REFRIGERATION VENTILATION,12/09/2008,(none selected),02/16/2009,02/15/2012,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/08-53-233.pdf),
08-84-387,812616,ARAMARK CORRECTIONAL SERVICES,33540827.00,FOOD SERVICE,12/10/2008,1230.COURT SERVICES DIVISION,05/30/2009,12/27/2011,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/08-84-387.pdf),
09-41-118,811512,GATEWAY FOUNDATION INC,9343284.00,SUBSTANCE ABUSETREATMENT SVS,05/20/2009,1236.COMM SUPER./INTERVENTION,05/17/2009,05/16/2012,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/09-41-118.pdf),
09-41-43,75520,MOTOROLA SOLUTIONS INC,4953842.00,MAINTENANCE RADIOS,06/04/2009,1211.DEPT. OF ADMIN/SUPPORT SER,12/01/2008,11/30/2011,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/09-41-43.pdf),
09-41-222,781121,ACS HEALTHCARE SOLUTIONS,33991488.00,ERP INSTALLATION FOR LAWSON SYSTEM,06/30/2009,(none selected),07/01/2009,06/30/2014,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/09-41-222.pdf),
09-53-100,813583,WORLD FUEL SERVICES TEXOR DIV,3559745.00,"FUEL, DIESEL & UNLEADED",07/07/2009,1211.DEPT. OF ADMIN/SUPPORT SER,07/10/2009,07/09/2011,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/09-53-100.pdf),
09-41-226,813534,AT&T CORP,1661740.00,VIDEO CONFERENCING,07/22/2009,EMHS Homeland Security - 769,06/02/2009,06/30/2012,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/09-41-226.pdf),
09-41-196,773698,G4S JUSTICE SERVICES INC,3473624.00,GPS OFFENDER TRACKING,09/02/2009,1280.ADULT PROBATION DEPT.,07/01/2009,06/30/2012,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/09-41-196.pdf),
09-41-227,751054,SYSTEM SOLUTIONS INC,28773248.00,SUPPORT SERVICES,10/02/2009,1050.BOARD OF REVIEW,07/07/2009,07/07/2012,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/09-41-227.pdf),
09-84-126,468747,JJ COLLINS SONS,1113676.00,ENVELOPES,10/05/2009,1060.COUNTY TREASURER,11/01/2009,10/31/2011,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/09-84-126.pdf),
09-41-276,83266,SENTINEL TECHNOLOGIES INC,3130808.00,WIDE AREA NETWORK SERVICES,10/08/2009,1009.ENTERPRISE TECHNOLOGY,09/01/2009,08/31/2010,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/09-41-276.pdf),
09-41-221,461304,DELL MARKETING L.P.,12674252.00,COMPUTER AND SOFTWARE SUPPORT,10/09/2009,1500.COUNTY HIGHWAY DEPARTMENT,07/01/2009,06/30/2012,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/09-41-221.pdf),
09-41-199,84032,CDW GOVERNMENT INC,2377751.00,"SOFTWARE, SUPPORT AGREEMENT",10/23/2009,Major capital eqpt-LT Projects - 715,04/01/2009,03/31/2012,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/09-41-199.pdf),
09-41-340,733557,MICROSOFT PROFESSIONAL SUPPORT SALES,2200000.00,EMAIL SYSTEM MIGRATION,11/30/2009,1009.ENTERPRISE TECHNOLOGY,11/01/2009,10/31/2010,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/09-41-340.pdf),
09-41-351,815268,TALEO CORPORATION,2000000.00,PROFESSIONAL SERVICES,12/16/2009,1032.DEPARTMENT OF HUMAN RESOURCES,10/15/2009,10/14/2013,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/09-41-351.pdf),
09-41-321,816238,WEST CARE FOUNDATION INC,1844401.00,SUBSTANCE ABUSE SERVICES,01/13/2010,1239.DEPARTMENT OF CORRECTIONS,01/01/2010,12/31/2012,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/09-41-321.pdf),
10-41-09,462219,MERRICK & COMPANY,3917540.00,AERIAL ORTHOIMAGERY,03/03/2010,1545.GEOGRAPHICAL INFO SYSTEM - GIS,03/01/2010,02/28/2013,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/10-41-09.pdf),
10-41-25,752988,INTELLITECH CORP,2392000.00,IMACS JMIS MAINTENANCE,04/07/2010,1239.DEPARTMENT OF CORRECTIONS,03/01/2010,02/28/2015,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/10-41-25.pdf),
10-41-35,463835,AT&T,27500000.00,TELEPHONE MSA,04/08/2010,1023.DEPT. OF OFFICE TECH.,03/16/2010,03/15/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/10-41-35.pdf),
10-41-59,819091,ELMO TECH INC,4502093.00,MONITORING & HOSTING,06/16/2010,1212.SHERIFF WOMEN'S JUSTICE SERV,05/01/2010,04/30/2013,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/10-41-59.pdf),
10-41-58,78703,AUNT MARTHA'S YOUTH SERVICE CENTER,3961160.00,EVENING REPORTING CENTERS,07/14/2010,1326.JUVENILE PROBATION,02/01/2010,01/31/2013,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/10-41-58.pdf),
10-41-68,92913,ISAAC RAY CENTER INC,16316621.00,MENTAL HEALTH SERVICES,07/14/2010,1440.JUVENILE TEMPORARY DETENT.CNTR,03/01/2010,11/30/2013,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/10-41-68.pdf),
10-41-57,78703,AUNT MARTHA'S YOUTH SERVICE CENTER,1378800.00,PRETRIAL SERVICES,07/14/2010,1326.JUVENILE PROBATION,02/01/2010,01/31/2013,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/10-41-57.pdf),
10-41-78,469751,CANON BUSINESS SOLUTIONS,3043860.00,LEASING PHOTOCOPIERS,09/07/2010,COUNTYWIDE,11/15/2010,11/14/2015,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/10-41-78.pdf),
10-41-98,744445,NTT/VERIO,1135000.00,WEB HOSTING SERVICES,09/07/2010,1009.ENTERPRISE TECHNOLOGY,06/01/2009,05/31/2012,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/10-41-98.pdf),
10-84-37,78882,B P C,2884548.00,COUNTYWIDE PAPER CONTRACT,09/15/2010,1211.DEPT. OF ADMIN/SUPPORT SER,09/08/2010,09/07/2011,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/10-84-37.pdf),
10-84-129,82061,WAREHOUSE DIRECT INC,1373256.00,OFFICE SUPPLIES,09/21/2010,COUNTYWIDE,09/15/2010,09/14/2012,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/10-84-129.pdf),
10-41-162,797514,TASC,378875.00,OUTREACH CASE MANAGEMENT,10/01/2010,CJ  Specialty Courts Program - 754,10/01/2010,02/28/2013,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/10-41-162.pdf),
10-41-163,751064,RESURRECTION BEHAVIORAL HEALTH,120000.00,MENTAL HEALTH COUNSELING,10/01/2010,CJ  Specialty Courts Program - 754,10/01/2010,09/30/2012,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/10-41-163.pdf),
10-84-29,76045,PROGRESSIVE INDUSTRIES,838726.00,"UNIFORMS, RESIDENT",10/22/2010,1440.JUVENILE TEMPORARY DETENT.CNTR,10/20/2010,10/19/2011,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/10-84-29.pdf),
10-41-157,80325,IBM CORPORATION,1000000.00,BUSINESS CONTINUITY AND DISAST,11/04/2010,Major capital eqpt-LT Projects - 715,09/24/2010,09/23/2013,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/10-41-157.pdf),
10-53-027,785014,INDEPENDENT RECYCLING SERVICES,2320640.00,SCAVENGER SERVICE,11/05/2010,1239.DEPARTMENT OF CORRECTIONS,11/15/2010,11/14/2012,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/10-53-027.pdf),
10-41-14,546685,NORTHWESTERN UNIVERSITY ACCT SERVICE,4691070.00,JUVENILE COURT CLINIC,11/17/2010,1326.JUVENILE PROBATION,06/01/2009,05/31/2012,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/10-41-14.pdf),
10-84-158,805590,MIDWEST BANK NOTE COMPANY,139500.00,PRINTING,11/29/2010,1533.COUNTY CLERK AUTOMATION,03/25/2011,03/24/2014,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/10-84-158.pdf),
11-84-07,748594,TALLGRASS SYSTEMS LTD.,1954526.00,"CARTRIDGES AND SUPPLIES, PRINTER HEWLETT-PACKARD",11/29/2010,COUNTYWIDE,08/01/2011,07/31/2012,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/11-84-07.pdf),
11-41-05,784779,CANNON COCHRAN MANAGEMENT SERVICES INC,501000.00,THIRD PARTY CLAIM SERVICES,03/01/2011,1542.SELF INSURANCE FUND,11/01/2010,10/31/2013,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/11-41-05.pdf),
11-45-48,829826,MESIROW INSURANCE SERVICES INC,16500000.00,BROKERAGE SERVICES,03/31/2011,1542.SELF INSURANCE FUND,02/28/2011,02/27/2014,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-45-48.pdf),
11-41-04,834345,SEDGWICK CLAIMS MANAGEMENT SERVICE,325000.00,ADMINISTRATION OF UNEMPLOYMENT CLAIMS,04/05/2011,1542.SELF INSURANCE FUND,11/01/2010,10/31/2013,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-41-04.pdf),
11-50-006,746229,ACCENTURE LLP,7950000.00,STRATEGIC SOURCING,04/06/2011,1030.CHIEF PROCUREMENT OFFICER,04/06/2011,04/30/2012,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/11-50-006.pdf),
08-45-256,804025,SECURUS TECHNOLOGIES INC,0.00,COINLESS INMATE PAYPHONES,06/08/2011,1009.ENTERPRISE TECHNOLOGY,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/08-45-256-A1.pdf),
10-50-1072A,832223,PENN CREDIT CORPORATION,,DEBT COLLECTION SERVICES,07/27/2011,1007.REVENUE,08/01/2011,07/31/2014,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/10-50-1072A.pdf),
10-50-1072B,779448,HARRIS & HARRIS LTD,,DEBT COLLECTION SERVICES,07/27/2011,1007.REVENUE,08/01/2011,07/31/2014,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/10-50-1072B.pdf),
11-83-58,78173,CHICAGO TRIBUNE,536740.00,PUBLICATION OF LEGAL NOTICES,07/29/2011,COUNTYWIDE,08/01/2011,07/31/2014,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/11-83-58.pdf),
11-53-106,94413,MORTON SALT CO,5573751.00,BULK ROCK SALT,08/08/2011,COUNTYWIDE,10/01/2011,09/30/2013,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-53-106.pdf),
11-84-75,832781,ENTERPRISE FLEET MANAGEMENT INC,2627574.00,VEHICLE LEASING,08/09/2011,SHE Chicago HIDTA - 655,10/17/2011,10/16/2013,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-84-75.pdf),
11-85-53C,75430,INLANDER BROTHERS CO INC,50371.00,PAPER TOWELS AND TISSUE,08/19/2011,COUNTYWIDE,08/01/2011,07/31/2013,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/11-85-53C.pdf),
11-84-100,78587,PAPER SOLUTIONS,1612582.00,PRINTING AND MANUFACTURING OF JACKETS AND FOLDERS,08/31/2011,COUNTYWIDE,08/15/2011,08/14/2013,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-84-100.pdf),
11-85-53E,80126,KMI SUPPLIES INC,50372.00,PAPER TOWELS AND TISSUE,08/31/2011,COUNTYWIDE,08/01/2011,07/31/2013,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/11-85-53E.pdf),
OMP-10-85-2635,92663,ADVANCED MANAGEMENT SYSTEMS INC,27900.00,"RAGS,WIPING",09/01/2011,1215.CUSTODIAN,09/01/2011,08/31/2013,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/OMP-10-85-2635.pdf),
11-85-2686,75328,INTERPARK LLC,57000.00,PARKING SPACES,09/01/2011,1260.PUBLIC DEFENDER,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/11-85-2686.pdf),
Q-96480-OR,78347,J P SIMONS & COMPANY,3593.00,"FIXTURES, FAIL SAFE LIGHTING",09/01/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-96480-OR.pdf),
Q-96881-OR,832351,CAPITAL SUPPLY COMPANY INC,6007.00,CEILING TILE AND RELATED HARDW,09/01/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-96881-OR.pdf),
Q-97844-OR,808993,INTERNATIONAL SECURITY PRODUCTS,2917.00,PAPER,09/01/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97844-OR.pdf),
11-50-2691,81563,HASCO TAG CO,52800.00,2012 RED HEART RABIES TAG,09/08/2011,1510.ANIMAL CONTROL DEPARTMENT,12/01/2011,11/30/2013,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-50-2691.pdf),
11-85-2719,1001941,EVERGREEN SUPPLY CO,78271.00,"SUPPLIES, WIRE/CABLE",09/08/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/11-85-2719.pdf),
10-84-124,76611,BEBON OFFICE MACHINES,64599.00,"STAMPS, ELECTRIC TIME",09/09/2011,1335.CLERK OF CRCT CRT OFF.OF CLERK,08/04/2011,07/31/2011,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/10-84-124.pdf),
11-41-23,784808,SALVATION ARMY,50000.00,DOMESTIC VIOLENCE PROGRAM,09/09/2011,1310.OFFICE OF THE CHIEF JUDGE,08/15/2011,11/30/2011,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-41-23.pdf),
Q-96962-OR,777066,BURHANI ENTER. DBA CLEAR RIDGE HARDWARE,10862.00,CONDUIT AND FITTINGS,09/14/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-96962-OR.pdf),
Q-98274-OR,819709,TECH MECH SUPPLY LLC,9380.00,"VALVE, METERING",09/14/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98274-OR.pdf),
11-45-66,740620,GARTNER INC,43900.00,ONLINE RESEARCH SERVICES,09/15/2011,1009.ENTERPRISE TECHNOLOGY,04/01/2011,03/31/2012,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-45-66.pdf),
11-85-53B,801198,AMERICAN TEXTILE SYSTEMS,618185.00,TOILET TISSUE COUNTY WIDE,09/16/2011,COUNTYWIDE,08/01/2011,07/31/2013,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/11-85-53B.pdf),
11-85-53D,75986,INTER-CITY SUPPLY CO INC,40480.00,PAPER TOWELS COUNTY WIDE,09/16/2011,COUNTYWIDE,08/01/2011,07/31/2013,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/11-85-53D.pdf),
Q-96835-OR,79183,INTERBORO PACKAGING CORP,5762.00,"LINERS, GARBAGE",09/16/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-96835-OR.pdf),
Q-97195-OR,832351,CAPITAL SUPPLY COMPANY INC,8820.00,SALT FOR WATER SOFTENERS,09/16/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97195-OR.pdf),
Q-97592-OR,92574,CASEY EQUIPMENT CO INC,13200.00,RENTAL OF PAVING MACHINE,09/16/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97592-OR.pdf),
Q-97960-OC,77604,FINKBINDER EQUIPMENT COMPANY,37200.00,RENTAL OF MILLING MACHINE,09/16/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97960-OC.pdf),
Q-97925-OR,77108,ARTHUR P OHARA INC,7845.00,RENTAL OF DRAFTING STOOLS,09/19/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97925-OR.pdf),
178118,764901,G4S JUSTICE SERVICES INC,58023.00,ELECTRONIC MONITORING SUPPORT,09/20/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/178118.pdf),
Q-98775-OR,759887,OMAN SYSTEMS INC,900.00,SOFTWARE ANNUAL MAINTENANCE,09/21/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98775-OR.pdf),
11-85-53A,76019,AZTEC SUPPLY CORP,162480.00,"TOWELS, PAPER",09/22/2011,COUNTYWIDE,08/01/2011,07/31/2013,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/11-85-53A.pdf),
Q-97582-07,833021,INDI ENTERPRISES,4657.00,INDUSTRIAL MACHINE PARTS,09/22/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97582-07.pdf),
Q-97883-OR,800583,ACCREDITED LOCK SUPPLY,4093.00,"TOOL, KEY SYSTEMS",09/22/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97883-OR.pdf),
Q-98312-OR,86425,GLOBAL GOVERNMENT/ED SOLUTIONS,2472.00,OFFICE SUPPLY,09/22/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98312-OR.pdf),
Q-97199-OR,79503,JOHNSON PIPE & SUPPLY CO,14671.00,PIPE FITTINGS,09/23/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97199-OR.pdf),
Q-97527-OR,808993,INTERNATIONAL SECURITY PRODUCTS,17532.00,PRINTING,09/23/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97527-OR.pdf),
Q-98102-OR,94070,ACOSTA MEDICAL TESTING CORP,18036.00,ONSITE- CDL DRUG & ALCOHOL TESTING,09/23/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98102-OR.pdf),
Q-98663-OR,832351,CAPITAL SUPPLY COMPANY INC,23032.00,COPY PAPER,09/23/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98663-OR.pdf),
Q-96834-OR,822683,BOB BARKER COMPANY INC,3213.00,TOOTHPASTE & BRUSHES,09/26/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-96834-OR.pdf),
Q-97692-OR,806328,CALICO INDUSTRIES INC,6297.00,"BAGS, PLASTIC LINERS",09/26/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97692-OR.pdf),
11-87-008,783019,DEER REHABILITATION SERVICES INC,599355.00,PROFESSIONAL SERVICES,09/27/2011,SHE Second Chance Reentry - 656,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-87-008.pdf),
11-87-009A,81581,MCDERMOTT CENTER,2647692.00,TREATMENT SERVICES,09/27/2011,1239.DEPARTMENT OF CORRECTIONS,10/01/2011,09/30/2014,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-87-009A.pdf),
11-87-009B,807973,SALINA & ASSOCIATES INC,5998470.00,PROFESSIONAL SERVICES,09/27/2011,1239.DEPARTMENT OF CORRECTIONS,10/01/2011,09/30/2014,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-87-009B.pdf),
Q-98862-OR,733557,MICROSOFT PROFESSIONAL SUPPORT SALES,1289.00,ANNUAL PHONE SUPPORT,09/27/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98862-OR.pdf),
11-45-149,733307,"GAFFIGAN, LYNN A",1070.00,PROFESSIONAL LEGAL SERVICES,09/28/2011,1002.HUMAN RIGHTS AND ETHICS,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/11-45-149.pdf),
Q-97210-OR,81029,POWER EQUIPMENT LEASING CO,3600.00,"RENTAL, BUCKET TRUCK",09/29/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97210-OR.pdf),
Q-99183-OR,782494,"JOHNSON, MICHAEL E",1400.00,"TRAINING SERVICES FOR ""EARLY WARNING SIGNS""",09/29/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-99183-OR.pdf),
Q-99186-OR,804559,CI TECHNOLOGIES INC,15400.00,IAPRO SOFTWARE RENEWAL,09/29/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-99186-OR.pdf),
Q-99194-OR,735001,BRUCE R TALBOT ASSOC,1200.00,TRAINING SERVICES FOR CURRENT TRENDS IN DRUG ABUSE,09/29/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-99194-OR.pdf),
Q-99195-OR,825065,"MUNDT, JOHN E",1200.00,TRAINING SESSIONS -2,09/29/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-99195-OR.pdf),
Q-99196-OR,91243,"SANDERS, MARK",1800.00,"TRINING 3 SESSIONS 10 21, 11/4&16, 2011",09/29/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-99196-OR.pdf),
Q-99220-OR,723052,WALZ SCALE,4320.00,TESTING SERVICES,09/29/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-99220-OR.pdf),
Q-97990-OR,815830,EN POINTE TECHNOLOGIES,8250.00,TONER,09/30/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97990-OR.pdf),
Q-96659-O7,833021,INDI ENTERPRISES,3739.00,SPLIT SYSTEM,10/01/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-96659-O7.pdf),
Q-97167-OR,81137,WAREHOUSE DIRECT,9950.00,CALENDARS,10/01/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97167-OR.pdf),
Q-97258-OR,78854,GORDON ELECTRIC SUPPLY INC,648.00,"PARTS, ELECTRICAL",10/01/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97258-OR.pdf),
Q-97534-OR,749539,UNITED DATA SERVICE CORP,2469.00,MAINTEMANCE RENEWAL,10/01/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97534-OR.pdf),
Q-97703-OR,772560,HYGIENE SOLUTIONS,1296.00,JANITORIAL HARDWRE,10/01/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97703-OR.pdf),
Q-97727-OR,832351,CAPITAL SUPPLY COMPANY INC,5066.00,"BINS, RECYCLING",10/01/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97727-OR.pdf),
Q-97785-OR,800733,GREEN VALLEY DISTRIBUTORS INC,4035.00,WATER,10/01/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97785-OR.pdf),
