DOC_CD,DOC_DEPT_CD,DOC_ID,DOC_VERS_NO,DOC_DSCR,CONTRACT_SYNOPSIS,CONTRACT_CONTACT_NM,CONTRACT_CONTACT_VOICE_PH_NO,CONTRACT_CONTACT_EMAIL_AD,MA_PRCH_LMT_AM,MA_ITD_ORD_AM,MA_DO_RFED_AM,EFBGN_DT,EFEND_DT,GNRC_PO_RPT_1,RPT_DSCR,BRD_AWD_DT,BRD_AWD_NO,CAT_DSCR,DOC_VEND_LN_NO,VEND_CUST_CD,LGL_NM,ALIAS_NM,SO_DOC_CD,SO_DOC_DEPT_CD,SO_DOC_ID,TODAY,ROW_KEY
CT,6100,16081600851,3,AUSTIN CONVENTION CTR PARKING GARAGE REPAIRS @ 2ND & 5TH STS,,Contract and Land Management Department,unknown,unknown,1794415.84,1794415.84,1546532.41,09/09/2016,,10,Competitive Acquisition,08/20/0016,18,Construction,1,RES8318028,RESTEK INC,N/A,IFB,6100,CLMC588,09/23/2019,CT6100160816008513RES8318028
CT,6100,16110700061,1,4TH AND RIO GRANDE CHILLED WATER TRANSMISSION MAIN,,Contract and Land Management Department,unknown,unknown,1564885,1564885,335000,12/02/2016,,10,Competitive Acquisition,11/05/0016,8,Construction,1,FAC8317993,FACILITIES REHABILITATION INC,N/A,IFB,6100,CLMC611,09/23/2019,CT6100161107000611FAC8317993
CT,6100,16120500118,6,SAR THICKENER IMPROVEMENTS,,Contract and Land Management Department,unknown,unknown,7603052.65,7603052.65,6984610.57,12/14/2016,,10,Competitive Acquisition,12/03/0016,11,Construction,1,MAT8308109,MATOUS CONSTRUCTION LTD,MATOUS CONSTRUCTION,IFB,6100,CLMC558,09/23/2019,CT6100161205001186MAT8308109
CT,6100,16121900144,8,PARMER LANE INTERCEPTOR,,Contract and Land Management Department,unknown,unknown,25604422.42,25604422.42,15693923.26,12/22/2016,,10,Competitive Acquisition,12/03/0016,14,Construction,1,SJL8312932,S J LOUIS CONSTRUCTION OF TEXAS LTD,N/A,IFB,6100,CLMC552,09/23/2019,CT6100161219001448SJL8312932
CT,6100,17010300174,15,AUSTIN SHELTER FOR WOMEN AND CHILDREN RENOVATION AND EXPANSI,,Contract and Land Management Department,unknown,unknown,5425280.73,5425280.73,5387000.44,01/12/2017,,15,Alt Proc Method (252),09/24/0016,3,Other Contracting,1,V00000936410,IE2 CONSTRUCTION INC,N/A,CSP,6100,CLMB319,09/23/2019,CT61001701030017415V00000936410
CT,6100,17012700237,6,MONTOPOLIS RECLAIMED WATER RESERVOIR AND PUMP STATION,,Contract and Land Management Department,unknown,unknown,11289750,11289750,10600402.1,02/23/2017,,10,Competitive Acquisition,01/28/0017,12,Construction,1,EXC7152535,"EXCEL CONSTRUCTION SERVICES, L L C",EXCEL CONSTRUCTION SVCS L L C,IFB,6100,CLMC601,09/23/2019,CT6100170127002376EXC7152535
CT,6100,17012700239,4,FOUR POINTS ELEVATED TANK IMPROVEMENTS,,Contract and Land Management Department,unknown,unknown,3051190.6,3051190.6,2990166.79,02/16/2017,,10,Competitive Acquisition,01/28/0017,7,Construction,1,BLA8301292,BLASTCO TEXAS INC,N/A,IFB,6100,CLMC624,09/23/2019,CT6100170127002394BLA8301292
CT,6100,17012700240,3,ABIA - ELEVATOR REFURBISHMENT REBID,,Contract and Land Management Department,unknown,unknown,3022270.64,3022270.64,3022270.63,02/23/2017,,10,Competitive Acquisition,01/28/0017,6,Non-Professional Services,1,V00000933669,"GADBERRY CONSTRUCTION COMPANY, INC.",N/A,IFB,6100,CLMC578A,09/23/2019,CT6100170127002403V00000933669
CT,6100,17013000243,2,GONZALES LIFT STATION ABANDONMENT,,Contract and Land Management Department,unknown,unknown,1198148.4,1198148.4,900221.64,02/23/2017,,10,Competitive Acquisition,01/28/0017,9,Construction,1,SMI8307578,M.A. SMITH CONTRACTING CO INC,SMITH CONTRACTING CO INC,IFB,6100,CLMC615,09/23/2019,CT6100170130002432SMI8307578
CT,6100,17013000244,7,WALNUT CREEK WWTP TERTIARY FILTER REHABILITATION,,Contract and Land Management Department,unknown,unknown,27256232.28,27256232.28,16710874.66,03/23/2017,,10,Competitive Acquisition,01/28/0017,12,Construction,1,VS0000037240,"PLW WATERWORKS, LLC",N/A,IFB,6100,CLMC587,09/23/2019,CT6100170130002447VS0000037240
CT,6100,17020200257,11,WOMEN'S LOCKER ROOM ADDITIONS PH 5 / VEHICLE BAY EXPANSION,,Contract and Land Management Department,unknown,unknown,4957402.89,4957402.89,4409808.38,02/23/2017,,15,Alt Proc Method (252),11/05/0016,9,Other Contracting,1,SOU7167450,RS ELLIS INC,SOUTHWEST CORPORATION,CSP,6100,CLMB324,09/23/2019,CT61001702020025711SOU7167450
CT,6100,17051100524,5,ABIA TERMINAL FACILITY UPPER LEVEL EMBANKMENT REPAIRS - CSP,,Contract and Land Management Department,unknown,unknown,4072435.88,4072435.88,3928917.92,05/11/2017,,15,Alt Proc Method (252),03/04/0017,4,Other Contracting,1,MON7153870,MAC INC,N/A,CSP,6100,CLMB325,09/23/2019,CT6100170511005245MON7153870
CT,6100,17052600559,12,ONION CREEK FIRE EMS STATION REISSUE,,Contract and Land Management Department,unknown,unknown,4946966.31,4946966.31,4674168.22,06/01/2017,,15,Alt Proc Method (252),03/25/0017,14,Other Contracting,1,BAR7111710,RODRIGUEZ BARR INC,THE BARR CO AIA,CSP,6100,CLMB326A,09/23/2019,CT61001705260055912BAR7111710
CT,6100,17062600613,3,BLOCKS 2 AND 4 ODOR ABATEMENT,,Contract and Land Management Department,unknown,unknown,760501.6,760501.6,535205.87,07/10/2017,,10,Competitive Acquisition,06/24/0017,12,Construction,1,SAN8316404,SANTA CLARA CONSTRUCTION LTD,N/A,IFB,6100,CLMC635,09/23/2019,CT6100170626006133SAN8316404
CT,6100,17082900788,6,WALNUT CREEK WWTP LAB & ADMIN BLDGS HVAC UPGRADES PH.1,,Contract and Land Management Department,unknown,unknown,2581788.91,2581788.91,2555971.02,09/28/2017,,10,Competitive Acquisition,08/19/0017,4,Construction,1,SOU7167450,RS ELLIS INC,SOUTHWEST CORPORATION,IFB,6100,CLMC659,09/23/2019,CT6100170829007886SOU7167450
CT,6100,17090100801,7,DCP1 COOLING TOWER EXPANSION REBID,,Contract and Land Management Department,unknown,unknown,2791739.67,2791739.67,2503942.37,10/13/2017,,10,Competitive Acquisition,09/02/0017,6,Construction,1,V00000916440,CDMTEK,"CONSTRUCTION TECHNOLOGY GROUP, LLC",IFB,6100,CLMC645A,09/23/2019,CT6100170901008017V00000916440
CT,6100,17120800138,3,ULLRICH WTP ADMIN. / CENTRIFUGE SCADA ASSET REPLACEMENT,,Contract and Land Management Department,unknown,unknown,1642775,1642775,1006715,12/22/2017,,10,Competitive Acquisition,12/09/0017,22,Construction,1,CON8306390,CONTROL PANELS USA INC,N/A,IFB,6100,CLMC660,09/23/2019,CT6100171208001383CON8306390
CT,6100,17121500158,8,BURLESON ROAD PRESSURE CONVERSION PHASE 1,,Contract and Land Management Department,unknown,unknown,4936428.91,4936428.91,4161561.61,01/18/2018,,10,Competitive Acquisition,12/16/0017,8,Construction,1,CAS7125840,CASH CONSTRUCTION CO INC,N/A,IFB,6100,CLMC671,09/23/2019,CT6100171215001588CAS7125840
CT,6100,17121500159,8,UPPER BOGGY CREEK TRAIL PHASE 1,,Contract and Land Management Department,unknown,unknown,2621827.8,2621827.8,2534174.57,01/24/2018,,10,Competitive Acquisition,12/16/0017,7,Construction,1,SMI8307578,M.A. SMITH CONTRACTING CO INC,SMITH CONTRACTING CO INC,IFB,6100,CLMC677,09/23/2019,CT6100171215001598SMI8307578
CT,6100,17121500161,6,IN SITU WASTEWATER PIPELINE RENEWAL GROUP B,,Contract and Land Management Department,unknown,unknown,2053256.12,2053256.12,1821714.37,12/22/2017,,10,Competitive Acquisition,12/16/0017,9,Construction,1,INS7140895,INSITUFORM TECHNOLOGIES LLC,"INSITUFORM, AN AEGION COMPANY",IFB,6100,CLMC676,09/23/2019,CT6100171215001616INS7140895
CT,6100,17121500162,14,EAST AUSTIN WASTEWATER LINE IMPROVEMENTS,,Contract and Land Management Department,unknown,unknown,2290559.05,2290559.05,1822478.05,01/12/2018,,10,Competitive Acquisition,12/16/0017,11,Construction,1,DEN8303211,DENUCCI CONSTRUCTORS L L C,N/A,IFB,6100,CLMC653,09/23/2019,CT61001712150016214DEN8303211
CT,6100,18010500208,4,FOUR POINTS CENTER FORCE MAIN IMPROVEMENTS REBID,,Contract and Land Management Department,unknown,unknown,999234.3,999234.3,941397.08,01/11/2018,,10,Competitive Acquisition,12/16/0017,10,Construction,1,SAN8316404,SANTA CLARA CONSTRUCTION LTD,N/A,IFB,6100,CLMC624A,09/23/2019,CT6100180105002084SAN8316404
CT,6100,18011000212,7,PEDESTRIAN SAFETY IMPROVEMENTS-ACCESSIBLE PEDESTRIAN SIGNAL,,Contract and Land Management Department,unknown,unknown,841180.94,841180.94,841180.93,01/10/2018,,10,Competitive Acquisition,12/09/0017,020,Construction,1,DEN8303211,DENUCCI CONSTRUCTORS L L C,N/A,IFB,6100,CLMC655,09/23/2019,CT6100180110002127DEN8303211
CT,6100,18011900219,1,PEDESTRIAN SAFETY IMPV-HYBRID BEACON INSTALLATIONS-TAP GRANT,,Contract and Land Management Department,unknown,unknown,627929,627929,411797.45,01/24/2018,,10,Competitive Acquisition,12/09/0017,19,Construction,1,AUS7169240,AUSTIN TRAFFIC SIGNAL CONST CO INC,N/A,IFB,6100,CLMC654,09/23/2019,CT6100180119002191AUS7169240
CT,6100,18021300251,5,NORTHERN WALNUT CREEK HIKE & BIKE TRAIL PH 1A,,Contract and Land Management Department,unknown,unknown,621338.08,621338.08,566329.27,02/23/2018,,10,Competitive Acquisition,02/03/0018,6,Construction,1,V00000920836,"WPM CONSTRUCTION SERVICES, INC.",N/A,IFB,6100,CLMC672,09/23/2019,CT6100180213002515V00000920836
CT,6100,18030900307,2,DOMAIN CHILLER #11 SUPPLY AND INSTALL,,Contract and Land Management Department,unknown,unknown,2857279,2857279,2743145.02,04/09/2018,,10,Competitive Acquisition,03/10/0018,2,Construction,1,JOH2615500,JOHNSON CONTROLS INC,JOHNSON CONTROLS,IFB,6100,CLMC678,09/23/2019,CT6100180309003072JOH2615500
CT,6100,18041600375,5,EILERS NEIGHBORHOOD PARK-GENERAL PARK IMPROVEMENTS-REBID,,Contract and Land Management Department,unknown,unknown,365918.99,365918.99,264379.48,06/15/2018,,10,Competitive Acquisition,04/14/0018,6,Non-Professional Services,1,ASD7048240,ASD CONSULTANTS INC,N/A,IFB,6100,CLMC673A,09/23/2019,CT6100180416003755ASD7048240
CT,6100,18041800507,5,BURLESON ROAD PRESSURE CONVERSION PROJECT,,Contract and Land Management Department,unknown,unknown,2313327.83,2313327.83,1382668.31,11/01/2018,,10,Competitive Acquisition,10/06/0018,003,Construction,1,AUS8321418,AUSTIN UNDERGROUND INC,N/A,IFB,6100,CLMC719,09/23/2019,CT6100180418005075AUS8321418
CT,6100,18051100427,5,AUSTIN ENERGY DISTRICT COOLING PLANT #3,,Contract and Land Management Department,unknown,unknown,45355366.51,45355366.51,15850707.45,05/25/2018,,10,Competitive Acquisition,04/28/0018,5,Construction,1,VC0000103145,FLINTCO LLC,N/A,IFB,6100,CLMC682,09/23/2019,CT6100180511004275VC0000103145
CT,6100,18062500520,4,SHINES ENERGY STORAGE SYSTEM,,Contract and Land Management Department,unknown,unknown,437630.55,437630.55,194120.6,07/03/2018,,10,Competitive Acquisition,06/16/0018,1,Construction,1,PIA8322157,PIATRA INC,N/A,IFB,6100,CLMC695,09/23/2019,CT6100180625005204PIA8322157
CT,6100,18071600568,1,NUECES WASTEWATER REHAB FOR 8TH TO MLK,,Contract and Land Management Department,unknown,unknown,2342631,2342631,819594.64,07/31/2018,,10,Competitive Acquisition,06/30/0018,9,Construction,1,INS7140895,INSITUFORM TECHNOLOGIES LLC,"INSITUFORM, AN AEGION COMPANY",IFB,6100,CLMC701,09/23/2019,CT6100180716005681INS7140895
CT,6100,18082300672,1,RIVER PLACE MUD & LOST CREEK MUD VOLUME I,,Contract and Land Management Department,unknown,unknown,2238900,2238900,1087845,09/18/2018,,10,Competitive Acquisition,08/11/0018,009,Construction,1,CON8306390,CONTROL PANELS USA INC,N/A,IFB,6100,CLMC675,09/23/2019,CT6100180823006721CON8306390
CT,6100,18090600716,5,MONTOPOLIS RECREATION & COMMUNITY CENTER CSP REISSUE,,Contract and Land Management Department,unknown,unknown,10727737.36,10727737.36,4270088.88,09/06/2018,,15,Alt Proc Method (252),04/14/0018,8,Other Contracting,1,VC0000103145,FLINTCO LLC,N/A,CSP,6100,CLMB327A,09/23/2019,CT6100180906007165VC0000103145
CT,6100,18100900009,4,SLAUGHTER/SOUTH 1ST INTERSECTION SAFETY IMPROVEMENTS,,Contract and Land Management Department,unknown,unknown,1624357.2,1624357.2,1289532.82,10/10/2018,,10,Competitive Acquisition,09/22/0018,049,Construction,1,AUS8321418,AUSTIN UNDERGROUND INC,N/A,IFB,6100,CLMC717,09/23/2019,CT6100181009000094AUS8321418
CT,6100,18102400031,2,FOREST RIDGE GROUND STORAGE RESERVOIR IMPROVEMENTS,,Contract and Land Management Department,unknown,unknown,2375341.75,2375341.75,87758.68,11/14/2018,,10,Competitive Acquisition,10/20/0018,010,Construction,1,BLA8301292,BLASTCO TEXAS INC,N/A,IFB,6100,CLMC716,09/23/2019,CT6100181024000312BLA8301292
CT,6100,18111400070,1,LEUTHAN LANE GROUND STORAGE RESERVOIR IMPROVEMENTS,,Contract and Land Management Department,unknown,unknown,2625779,2625779,2343565.16,11/16/2018,,10,Competitive Acquisition,10/20/0018,009,Construction,1,BLA8301292,BLASTCO TEXAS INC,N/A,IFB,6100,CLMC679A,09/23/2019,CT6100181114000701BLA8301292
CT,6100,18120300104,5,LITTLE STACY NEIGHBORHOOD PARK GENERAL PARK IMP. REBID,,Contract and Land Management Department,unknown,unknown,502325.39,502325.39,472886.62,12/07/2018,,10,Competitive Acquisition,11/03/0018,006,Construction,1,ASD7048240,ASD CONSULTANTS INC,N/A,IFB,6100,CLMC711A,09/23/2019,CT6100181203001045ASD7048240
CT,6100,18121700142,3,RICKY GUERRERO POCKET PARK GENERAL PARK IMPROVEMENTS,,Contract and Land Management Department,unknown,unknown,408870.7,408870.7,365040.07,12/18/2018,,10,Competitive Acquisition,11/17/0018,005,Construction,1,ASD7048240,ASD CONSULTANTS INC,N/A,IFB,6100,CLMC710,09/23/2019,CT6100181217001423ASD7048240
CT,6100,18122000153,2,ABIA CAMPUS HVAC IMPROVEMENTS,,Contract and Land Management Department,unknown,unknown,1306975,1306975,509886.68,12/26/2018,,10,Competitive Acquisition,11/03/0018,005,Construction,1,V00000933669,"GADBERRY CONSTRUCTION COMPANY, INC.",N/A,IFB,6100,CLMC704,09/23/2019,CT6100181220001532V00000933669
CT,6100,19011000181,2,HORNSBY BEND SIDE STREAM TREATMENT PLANT (SSTP) RELIEF,,Contract and Land Management Department,unknown,unknown,12670597.86,12670597.86,3058392.21,01/11/2019,,10,Competitive Acquisition,12/15/0018,006,Construction,1,MAT8308109,MATOUS CONSTRUCTION LTD,MATOUS CONSTRUCTION,IFB,6100,CLMC713,09/23/2019,CT6100190110001812MAT8308109
CT,6100,19013100220,2,EXPOSITION BLVD. W&WW PIPELINE RENEWAL,,Contract and Land Management Department,unknown,unknown,3261818,3261818,602372.67,03/04/2019,,10,Competitive Acquisition,02/02/0019,4,Construction,1,AUS8321418,AUSTIN UNDERGROUND INC,N/A,IFB,6100,CLMC722,09/23/2019,CT6100190131002202AUS8321418
CT,6100,19042500398,1,WATER DISTRIBUTION & LIFT STATION SCADA IMPROVEMENTS PHASE I,,Contract and Land Management Department,unknown,unknown,198800,198800,0,04/25/2019,,10,Competitive Acquisition,04/27/0019,5,Construction,1,CON8306390,CONTROL PANELS USA INC,N/A,IFB,6100,CLMC726,09/23/2019,CT6100190425003981CON8306390
