Link
"Intent to Award posted January 16, 2015 (PDF – 1.06 MB (http://opendocs.cookcountyil.gov/procurement/intent-award/Intent-to-Award-posted-January-16-2015.pdf)"
"Intent to Award posted December 12, 2014 (PDF – 329 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/Intent-to-Award-posted-December-12-20141.pdf)"
"Intent to Award Posted November 14, 2014 (PDF – 1.02 MB) (http://opendocs.cookcountyil.gov/procurement/intent-award/November-Board-Report.pdf)"
"Intent to Award Posted October 3, 2014 (http://opendocs.cookcountyil.gov/procurement/intent-award/Intent-to-Award-Posted-October-3-20141.pdf)"
"Intent to Award posted September 5, 2014 (PDF – 2.9 MB) (http://opendocs.cookcountyil.gov/procurement/intent-award/Intent-to-Award-posted-September-5-2014.pdf)"
"Intent to Award posted July 18, 2014 (PDF – 2 MB) (http://opendocs.cookcountyil.gov/procurement/intent-award/071814_BoardReport2.pdf)"
"Intent to Award posted June 13, 2014 (PDF – 2 MB) (http://opendocs.cookcountyil.gov/procurement/intent-award/061314_Board-Report.pdf)"
"Intent to Award posted May 16, 2014 (PDF-2.46 MB) (http://opendocs.cookcountyil.gov/procurement/intent-award/051614_BoardReport.pdf)"
"Intent to Award posted April 4, 2014 (PDF-674 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/040414_BoardReport.pdf)"
"Intent to Award posted March 7, 2014 (PDF-471 KB (http://opendocs.cookcountyil.gov/procurement/intent-award/030714_BoardReport.pdf)"
"Intent to Award posted February 13, 2014 (PDF – 1504 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/021414_BoardReport.pdf)"
"Intent to Award posted January 10, 2014 (PDF – 691 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/011014_BoardReport.pdf)"
"Intent to Award posted December 3, 2013 (PDF – 692 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/120313_BoardReport1.pdf)"
"Intent to Award posted November 27, 2013 (PDF – 282 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/112713_BoardReport.pdf)"
"Intent to Award posted November 8, 2013 (PDF – 762 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/110813_BoardReport.pdf)"
"Intent to Award posted October 18, 2013 (PDF – 257 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/101813_BoardReport.pdf)"
"Intent to Award posted September 27, 2013 (PDF – 675 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/092713_Board-Report.pdf)"
"Intent to Award posted September 6, 2013 (PDF – 1.27 MB) (http://opendocs.cookcountyil.gov/procurement/intent-award/091113_Board-Report.pdf)"
"Intent to Award posted July 27, 2013 (PDF – 802 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/072713_BoardReport-1.pdf)"
"Intent to Award posted July 15, 2013 (PDF – 461 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/071513_Board-Report1.pdf)"
"Intent to Award posted June 14, 2013 (PDF – 1.47 MB) (http://opendocs.cookcountyil.gov/procurement/intent-award/061413_BoardReport.pdf)"
"Intent to Award posted May 22, 2013 (PDF – 345 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/052213_BoardReport.pdf)"
"Intent to Award posted May 3, 2013 (PDF – 343 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/050313_BoardReport.pdf)"
"Intent to Award posted May 2, 2013 (PDF – 485 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/050213_BidReport.pdf)"
"Intent to Award posted April 12, 2013 (PDF – 1.34 MB) (http://opendocs.cookcountyil.gov/procurement/intent-award/041213_BidReport.pdf)"
"Intent to Award posted March 14, 2013 (PDF – 1.92 MB) (http://opendocs.cookcountyil.gov/procurement/intent-award/031413_BoardReport.pdf)"
"Intent to Award posted February 22, 2013 (PDF – 112 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/022213_BdReport.pdf)"
"Intent to Award posted January 31, 2013 (PDF – 270 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/013113_BidReport.pdf)"
"Intent to Award posted January 18, 2013 (PDF – 320 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/011813_BidReport-2.pdf)"
"Intent to Award posted January 7, 2013 (PDF – 586 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/010713_BidReport1.pdf)"
"Intent to Award posted December 21, 2012 (PDF – 306 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/122112_BidReport.pdf)"
"Intent to Award posted December 17, 2012 (PDF – 168 KB (http://opendocs.cookcountyil.gov/procurement/intent-award/121712_BidReport.pdf)"
"Intent to Award posted December 12, 2012 (PDF – 158 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/121212_BidReport.pdf)"
"Intent to Award posted December 10, 2012 (PDF – 161 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/121012_BidReport.pdf)"
"Intent to Award posted November 19, 2012 (PDF – 523 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/111912_BidReport.pdf)"
"November 1, 2012 County Board Meeting (PDF – 281 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/110112_BoardReport.pdf)"
"October 16, 2012 County Board Meeting (PDF – 518 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/101612_BoardReport1.pdf)"
"October 2, 2012 County Board Meeting (PDF – 1,856 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/100212_BoardReport1.pdf)"
"September 10, 2012 County Board Meeting (PDF – 834 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/091012_BidsReport.pdf)"
"July 24, 2012 County Board Meeting (PDF – 824 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/072412_BidsReport2.pdf)"
"July 10, 2012 County Board Meeting (PDF – 1,811 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/071012_BidsReport3.pdf)"
"June 5, 2012 County Board Meeting (PDF – 794 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/060512_BoardReport.pdf)"
"May 14, 2012 County Board Meeting (PDF – 70 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/051412_BidsReport.pdf)"
"May 1, 2012 County Board Meeting (PDF – 1MB) (http://opendocs.cookcountyil.gov/procurement/intent-award/050112_BidsReport1.pdf)"
"April 17, 2012 County Board Meeting (PDF – 325KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/041712_BidsReport.pdf)"
"April 3, 2012 County Board Meeting (PDF – 557KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/040312_BidsReport_2.pdf)"
"March 1, 2012 County Board Meeting (PDF – 1,156 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/0301122_BidsReport.pdf)"
"February 15, 2012 County Board Meeting (PDF – 121 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/021512_BidsReport1.pdf)"
"February 1, 2012 County Board Meeting (PDF – 262 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/020112_BidsReport.pdf)"
"January 18, 2012 County Board Meeting (PDF – 231 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/011812_BidsReport.pdf)"
"December 14, 2011 County Board Meeting (PDF – 834 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/121411_BidsReport3.pdf)"
"December 1, 2011 County Board Meeting (PDF – 758 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/cc_preawardreview120111.pdf)"
"November 1, 2011 County Board Meeting (PDF – 217 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/cc_preawardreview110111.pdf)"
"October 4, 2011 County Board Meeting (PDF – 224 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/cc_preawardreview10411.pdf)"
"September 7, 2011 County Board Meeting (PDF – 398 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/cc_preawardreview090711_pdf.pdf)"
"July 27, 2011 County Board Meeting (PDF – 1.1 MB) (http://opendocs.cookcountyil.gov/procurement/intent-award/cc_preawardreview072211.pdf)"
"July 12, 2011 County Board Meeting (PDF – 648 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/cc_preawardreview071211.pdf)"
"June 14, 2011 County Board Meeting (PDF – 458 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/cc-preawardreview061411.pdf)"
"May 17, 2011 County Board Meeting (PDF – 180 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/cc_preawardreview051711.pdf)"
"May 3, 2011 County Board Meeting (PDF – 100 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/cc_preawardreview050311.pdf)"
"April 6, 2011 County Board Meeting (PDF – 100 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/cc_preawardreview040611.pdf)"
"March 15, 2011 County Board Meeting (PDF – 100 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/cc_preawardreview031511.pdf)"
"March 1, 2011 County Board Meeting (PDF – 1.2 MB) (http://opendocs.cookcountyil.gov/procurement/intent-award/cc_preawardreview030111.pdf)"
"Feb. 15, 2011 County Board Meeting (PDF – 1 MB) (http://opendocs.cookcountyil.gov/procurement/intent-award/cc_preawardreview021511.pdf)"
"Jan. 19, 2011 County Board Meeting (PDF – 4 MB) (http://opendocs.cookcountyil.gov/procurement/intent-award/cc_preawardreview011911.pdf)"
"Jan. 04, 2011 County Board Meeting (PDF – 247KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/cc_preawardreview010411.pdf)"
