Type of Service,Aggregation Level,State/ Territory,County,Number of Fee-for-Service Beneficiaries,Number of Providers,Average Number of Users per Provider,Percentage of Users out of FFS Beneficiaries,Average Number of Providers per County,Moratorium State/County,Number of Fee-for-Service Beneficiaries Colors - Single Color Scale,Number of Fee-for-Service Beneficiaries Colors - Dual Color Scale,Number of Fee-for-Service Beneficiaries Description,Number of Providers Colors - Single Color Scale,Number of Providers Colors - Dual Color Scale,Number of Providers Description,Average Number of Users per Provider Colors - Single Color Scale,Average Number of Users per Provider Colors - Dual Color Scale,Average Number of Users per Provider Description,Percentage of Users out of FFS Beneficiaries Colors - Single Color Scale,Percentage of Users out of FFS Beneficiaries Colors - Dual Color Scale,Percentage of Users out of FFS Beneficiaries Description,Average Number of Providers per County Colors - Single Color Scale,Average Number of Providers per County Colors - Dual Color Scale,Average Number of Providers per County Description
Home Health,STATE,IA,--ALL--,493431,147,168.7,5%,4.5,No,ORANGE 2,GREEN 2,"Second Lowest 25% (239,561 - 494,008 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (108 - 177 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 222 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 6.2% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 6 Providers)
Home Health,STATE,ID,--ALL--,191258,45,292.2,6.9%,7.2,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 239,561 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (45 - 107 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (222 - 292 Users),ORANGE 2,GREEN 2,Second Lowest 25% (6.2 - 7.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (6 - 11.8 Providers)
Home Health,STATE,IL,--ALL--,1643973,772,218.2,10.2%,255.7,Yes,ORANGE 4,BLUE 4,"Top 25% Excl. Extreme Values (933,451 - 1,974,285 Beneficiaries)",ORANGE 5,BLUE 5,Extreme Values (More than 377 Providers),ORANGE 1,BLUE 1,Lowest 25% (Less than 222 Users),ORANGE 4,BLUE 4,Top 25% Excl. Extreme Values (9.0 - 12.9% of Beneficiaries),ORANGE 5,BLUE 5,Extreme Values (More than 64.0 Providers)
Home Health,STATE,IN,--ALL--,898294,203,288.3,6.5%,18.6,No,ORANGE 3,GREEN 3,"Third Lowest 25% (494,009 - 933,450 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (178 - 377 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (222 - 292 Users),ORANGE 2,GREEN 2,Second Lowest 25% (6.2 - 7.8% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (11.9 - 29.2 Providers)
Home Health,STATE,KS,--ALL--,413886,120,216.3,6.3%,10,No,ORANGE 2,GREEN 2,"Second Lowest 25% (239,561 - 494,008 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (108 - 177 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 222 Users),ORANGE 2,GREEN 2,Second Lowest 25% (6.2 - 7.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (6 - 11.8 Providers)
Home Health,STATE,KY,--ALL--,645963,108,509,8.5%,5.9,No,ORANGE 3,GREEN 3,"Third Lowest 25% (494,009 - 933,450 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (108 - 177 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (293 - 562 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.9 - 8.9% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 6 Providers)
Home Health,STATE,LA,--ALL--,561366,200,331.4,11.8%,18.2,No,ORANGE 3,GREEN 3,"Third Lowest 25% (494,009 - 933,450 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (178 - 377 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (293 - 562 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.0 - 12.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (11.9 - 29.2 Providers)
Home Health,STATE,MA,--ALL--,933451,144,720.3,11.1%,40.5,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (933,451 - 1,974,285 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (108 - 177 Providers),ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (563 - 1,073 Users)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.0 - 12.9% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (29.3 - 64.0 Providers)
Home Health,STATE,MD,--ALL--,811069,63,1015.3,7.9%,16.7,No,ORANGE 3,GREEN 3,"Third Lowest 25% (494,009 - 933,450 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (45 - 107 Providers),ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (563 - 1,073 Users)",ORANGE 3,GREEN 3,Third Lowest 25% (7.9 - 8.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (11.9 - 29.2 Providers)
Home Health,STATE,ME,--ALL--,239561,30,637.2,8%,5.9,No,ORANGE 2,GREEN 2,"Second Lowest 25% (239,561 - 494,008 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 45 Providers),ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (563 - 1,073 Users)",ORANGE 3,GREEN 3,Third Lowest 25% (7.9 - 8.9% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 6 Providers)
Home Health,STATE,MI,--ALL--,1334927,552,245.1,10.1%,110.3,Yes,ORANGE 4,BLUE 4,"Top 25% Excl. Extreme Values (933,451 - 1,974,285 Beneficiaries)",ORANGE 5,BLUE 5,Extreme Values (More than 377 Providers),ORANGE 2,BLUE 2,Second Lowest 25% (222 - 292 Users),ORANGE 4,BLUE 4,Top 25% Excl. Extreme Values (9.0 - 12.9% of Beneficiaries),ORANGE 5,BLUE 5,Extreme Values (More than 64.0 Providers)
Home Health,STATE,MN,--ALL--,422597,142,262.8,8.8%,14.5,No,ORANGE 2,GREEN 2,"Second Lowest 25% (239,561 - 494,008 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (108 - 177 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (222 - 292 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.9 - 8.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (11.9 - 29.2 Providers)
Home Health,STATE,MO,--ALL--,835675,178,339.6,7.2%,16.8,No,ORANGE 3,GREEN 3,"Third Lowest 25% (494,009 - 933,450 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (178 - 377 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (293 - 562 Users),ORANGE 2,GREEN 2,Second Lowest 25% (6.2 - 7.8% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (11.9 - 29.2 Providers)
Home Health,STATE,MS,--ALL--,494009,48,1140.7,11.1%,4.8,No,ORANGE 3,GREEN 3,"Third Lowest 25% (494,009 - 933,450 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (45 - 107 Providers),ORANGE 5,GREEN 5,"Extreme Values (More than 1,073 Users)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.0 - 12.9% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 6 Providers)
Home Health,STATE,MT,--ALL--,148234,27,218.1,4%,2,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 239,561 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 45 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 222 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 6.2% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 6 Providers)
Home Health,STATE,NC,--ALL--,1284736,178,560.4,7.8%,9.7,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (933,451 - 1,974,285 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (178 - 377 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (293 - 562 Users),ORANGE 2,GREEN 2,Second Lowest 25% (6.2 - 7.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (6 - 11.8 Providers)
Home Health,STATE,ND,--ALL--,90780,19,189.7,4%,2.1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 239,561 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 45 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 222 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 6.2% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 6 Providers)
Home Health,STATE,NE,--ALL--,269384,67,223.3,5.6%,8.5,No,ORANGE 2,GREEN 2,"Second Lowest 25% (239,561 - 494,008 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (45 - 107 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (222 - 292 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 6.2% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (6 - 11.8 Providers)
Home Health,STATE,NH,--ALL--,241155,37,567.9,8.7%,12,No,ORANGE 2,GREEN 2,"Second Lowest 25% (239,561 - 494,008 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 45 Providers),ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (563 - 1,073 Users)",ORANGE 3,GREEN 3,Third Lowest 25% (7.9 - 8.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (11.9 - 29.2 Providers)
Home Health,STATE,NJ,--ALL--,1238107,56,1695.3,7.7%,11.2,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (933,451 - 1,974,285 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (45 - 107 Providers),ORANGE 5,GREEN 5,"Extreme Values (More than 1,073 Users)",ORANGE 2,GREEN 2,Second Lowest 25% (6.2 - 7.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (6 - 11.8 Providers)
Home Health,STATE,NM,--ALL--,248527,73,212.8,6.3%,8.1,No,ORANGE 2,GREEN 2,"Second Lowest 25% (239,561 - 494,008 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (45 - 107 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 222 Users),ORANGE 2,GREEN 2,Second Lowest 25% (6.2 - 7.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (6 - 11.8 Providers)
Home Health,STATE,NV,--ALL--,294230,118,222.3,8.9%,67.6,No,ORANGE 2,GREEN 2,"Second Lowest 25% (239,561 - 494,008 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (108 - 177 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (222 - 292 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.9 - 8.9% of Beneficiaries),ORANGE 5,GREEN 5,Extreme Values (More than 64.0 Providers)
Home Health,STATE,NY,--ALL--,2038270,147,1101.3,7.9%,18.9,No,ORANGE 5,GREEN 5,"Extreme Values (More than 1,974,285 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (108 - 177 Providers),ORANGE 5,GREEN 5,"Extreme Values (More than 1,073 Users)",ORANGE 3,GREEN 3,Third Lowest 25% (7.9 - 8.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (11.9 - 29.2 Providers)
Home Health,STATE,OH,--ALL--,1310295,447,243.7,8.3%,30.4,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (933,451 - 1,974,285 Beneficiaries)",ORANGE 5,GREEN 5,Extreme Values (More than 377 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (222 - 292 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.9 - 8.9% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (29.3 - 64.0 Providers)
Home Health,STATE,OK,--ALL--,567764,255,249.1,11.2%,29.3,No,ORANGE 3,GREEN 3,"Third Lowest 25% (494,009 - 933,450 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (178 - 377 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (222 - 292 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.0 - 12.9% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (29.3 - 64.0 Providers)
Home Health,STATE,OR,--ALL--,422198,67,330.8,5.2%,7.2,No,ORANGE 2,GREEN 2,"Second Lowest 25% (239,561 - 494,008 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (45 - 107 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (293 - 562 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 6.2% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (6 - 11.8 Providers)
Home Health,STATE,PA,--ALL--,1498989,317,434.4,9.2%,25.8,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (933,451 - 1,974,285 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (178 - 377 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (293 - 562 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.0 - 12.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (11.9 - 29.2 Providers)
Home Health,STATE,RI,--ALL--,122795,29,440.4,10.4%,21.4,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 239,561 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 45 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (293 - 562 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.0 - 12.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (11.9 - 29.2 Providers)
Home Health,STATE,SC,--ALL--,739069,75,725.9,7.4%,7,No,ORANGE 3,GREEN 3,"Third Lowest 25% (494,009 - 933,450 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (45 - 107 Providers),ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (563 - 1,073 Users)",ORANGE 2,GREEN 2,Second Lowest 25% (6.2 - 7.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (6 - 11.8 Providers)
Home Health,STATE,SD,--ALL--,115838,30,154.7,4%,2.7,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 239,561 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 45 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 222 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 6.2% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 6 Providers)
Home Health,STATE,TN,--ALL--,835875,145,491.8,8.5%,11.9,No,ORANGE 3,GREEN 3,"Third Lowest 25% (494,009 - 933,450 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (108 - 177 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (293 - 562 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.9 - 8.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (11.9 - 29.2 Providers)
Home Health,STATE,TX,--ALL--,2530206,2176,140.1,12.1%,156.6,Yes,ORANGE 5,BLUE 5,"Extreme Values (More than 1,974,285 Beneficiaries)",ORANGE 5,BLUE 5,Extreme Values (More than 377 Providers),ORANGE 1,BLUE 1,Lowest 25% (Less than 222 Users),ORANGE 4,BLUE 4,Top 25% Excl. Extreme Values (9.0 - 12.9% of Beneficiaries),ORANGE 5,BLUE 5,Extreme Values (More than 64.0 Providers)
Home Health,STATE,UT,--ALL--,220558,93,211.3,8.9%,31.3,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 239,561 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (45 - 107 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 222 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.9 - 8.9% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (29.3 - 64.0 Providers)
Home Health,STATE,VA,--ALL--,1097101,205,439.6,8.2%,17,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (933,451 - 1,974,285 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (178 - 377 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (293 - 562 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.9 - 8.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (11.9 - 29.2 Providers)
Home Health,STATE,VT,--ALL--,121376,14,710.5,8.2%,2.9,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 239,561 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 45 Providers),ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (563 - 1,073 Users)",ORANGE 3,GREEN 3,Third Lowest 25% (7.9 - 8.9% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 6 Providers)
Home Health,STATE,WA,--ALL--,820867,65,645.3,5.1%,9.5,No,ORANGE 3,GREEN 3,"Third Lowest 25% (494,009 - 933,450 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (45 - 107 Providers),ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (563 - 1,073 Users)",ORANGE 1,GREEN 1,Lowest 25% (Less than 6.2% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (6 - 11.8 Providers)
Home Health,STATE,WI,--ALL--,679694,101,350.3,5.2%,7.8,No,ORANGE 3,GREEN 3,"Third Lowest 25% (494,009 - 933,450 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (45 - 107 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (293 - 562 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 6.2% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (6 - 11.8 Providers)
Home Health,STATE,WV,--ALL--,311577,63,354.1,7.2%,4.5,No,ORANGE 2,GREEN 2,"Second Lowest 25% (239,561 - 494,008 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (45 - 107 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (293 - 562 Users),ORANGE 2,GREEN 2,Second Lowest 25% (6.2 - 7.8% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 6 Providers)
Home Health,STATE,WY,--ALL--,91370,28,128.1,3.9%,2.2,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 239,561 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 45 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 222 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 6.2% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 6 Providers)
Home Health,COUNTY,AK,Anchorage,31062,4,247.5,3.2%,4,No,ORANGE 5,GREEN 5,"Extreme Values (More than 24,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AK,Fairbanks North Star,9208,1,223,2.4%,1,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,AK,Juneau,4127,1,113,2.7%,1,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,AK,Kenai Peninsula,9635,2,147.5,3.1%,2,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
