Posting Date,Contract Number,Description,Department,Recommended Action,Recommended Vendor,Contract Amount,MBE/WBE/DBE Participation,MBE/WBE/DBE type,Direct Participation,Indirect Participation,# of Bids Received,# of M/WBE Bids Received,CCA Concurs,Link
06/03/2016,1528-14472C,,,,,,Environmental Design International,DBE,5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1528-14472C,,,,,,The Roderick Group,DBE,8,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1528-14472C,,,,,,"Wang Engineering, Inc.",DBE,3,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1435-14005,VRMS (Voter Registration Management System),County Clerk - 110,Award,SKU Corporation,2476142.00,,DNA,,,10,7,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1435-14005,,,,,,"Carminati Consulting, Inc.",WBE (7),17.5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1435-14005,,,,,,"Praxis Partners, LLC.",WBE (7),17.5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1535-15038,Electronic Filing Services,Clerk of Crct Crt Off.of Clerk - 335,Award,"On-Line Information Services, Inc.",0.00,,DNA,,,DNA,DNA,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1618-14654,Network Services Operations,Office of Chief Info. Officer - 009,Award,Sentinel Technologies,11158838.00,,DNA,,,2,0,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1618-14654,,,,,,"Smart Technology Services, Inc",MBE (6),14.3,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1618-14654,,,,,,"Solai & Cameron, Inc.",MBE (8),20.7,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1650-15538,"Radio Equipment, Parts & Services",Office of the Sheriff - 210,Award,"Motorola Solutions, Inc.",12819794.74,,DNA,,,DNA,DNA,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1650-15538,,,,,,Chicago Communications,WBE (7),6.7,10.6,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1650-15538,,,,,,"Quantum Crossings, Inc.",MBE (6),0.2,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/24/2016,1545-15147A,Landscaping Services - North & South Zones,Dept of Facilities/Mgmt - 200,Award,Lizzette Medina and Company,712500.00,,DNA,,,"North - 5
South - 3","North - 2
South - 1",true,http://opendocs.cookcountyil.gov/procurement/intent-award/160624-Intent_to_Award_EDS.pdf
06/24/2016,1545-15147A,,,,,,Darnell's Ground Service,MBE (6),10,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160624-Intent_to_Award_EDS.pdf
06/24/2016,1545-15147A,,,,,,"Brown Service, Inc",MBE (6),15,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160624-Intent_to_Award_EDS.pdf
06/24/2016,1545-15147A,,,,,,Briar Patch Landscaping,WBE (7),10,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160624-Intent_to_Award_EDS.pdf
06/24/2016,1545-15147B,Landscaping Services - Central Zone,Dept of Facilities/Mgmt - 200,Award,"City Escape Garden & Design, LLC",727750.50,"City Escape Garden & Design, LLC",WBE (7),75,,Central - 4,Central - 2,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160624-Intent_to_Award_EDS.pdf
06/24/2016,1545-15147B,,,,,,Melesio's Landscaping,MBE (9),13,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160624-Intent_to_Award_EDS.pdf
06/24/2016,1545-15147B,,,,,,"Alvarez, Inc.",MBE (9),12,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160624-Intent_to_Award_EDS.pdf
06/24/2016,1611-15514,"Tasers, Body Cameras, Related Products, and Services",Office of the Sheriff - 210,Award,"Taser International, Inc.",4786784.28,,DNA,,,DNA,DNA,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160624-Intent_to_Award_EDS.pdf
06/24/2016,1550-14323,"Maintenance, Repair and Operations Supplies, Parts and Materials (MRO)",Cook County DHSEM - 265,Award,"W. W. Grainger, Inc.",33103800.00,,DNA,,,3,1,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160624-Intent_to_Award_EDS.pdf
06/24/2016,1550-14323,,,,,,Hoo’s Wrighy Cleaning Svcs.,MBE (6),,0.3,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160624-Intent_to_Award_EDS.pdf
06/24/2016,1550-14323,,,,,,Rae Products and Chemicals,WBE (7),,1.7,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160624-Intent_to_Award_EDS.pdf
06/24/2016,1550-14323,,,,,,Seville Staffing LLC.,WBE (7),,0.6,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160624-Intent_to_Award_EDS.pdf
06/24/2016,1550-14323,,,,,,J & J Exhibitors Services,WBE (7),,0.5,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160624-Intent_to_Award_EDS.pdf
06/24/2016,1550-14323,,,,,,"B & L Distributors, Inc.",WBE (7),,0.4,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160624-Intent_to_Award_EDS.pdf
06/24/2016,1411-14271,Computer Aided Booking System (CABS),Office of the Sheriff - 210,Award,"MorphoTrak, LLC",4573250.00,,DNA,,,6,DNA,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160624-Intent_to_Award_EDS.pdf
06/24/2016,1411-14271,,,,,,"GNC Consulting, Inc.",MBE (6),35,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160624-Intent_to_Award_EDS.pdf
06/24/2016,1623-15293,State Mandated Publications,"Cook County Assessor's Office - 040
County Clerk - 110",Award,"Cook County Suburban Publishers, Inc.",879170.45,,DNA,,,DNA,DNA,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160624-Intent_to_Award_EDS.pdf
06/24/2016,1653-15264A,"Violence Prevention, Intervention and Reduction Demonstration Grants",Justice Advisory Council - 205,Award,"OAI, Inc.",199974.86,,DNA,,,35,DNA,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160624-Intent_to_Award_EDS.pdf
06/24/2016,1653-15264B,"Violence Prevention, Intervention and Reduction Demonstration Grants",Justice Advisory Council - 205,Award,"BUILD, Inc.",200000.00,,DNA,,,35,DNA,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160624-Intent_to_Award_EDS.pdf
06/24/2016,1653-15264C,"Violence Prevention, Intervention and Reduction Demonstration Grants",Justice Advisory Council - 205,Award,Youth Advocate Project,200000.00,,DNA,,,35,DNA,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160624-Intent_to_Award_EDS.pdf
06/24/2016,1653-15264D,"Violence Prevention, Intervention and Reduction Demonstration Grants",Justice Advisory Council - 205,Award,Brighton Park Neighborhood Council,200000.00,,DNA,,,35,DNA,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160624-Intent_to_Award_EDS.pdf
07/08/2016,1515-14988R,Continuous and Multi-Event Sequential Air Monitors,Environmental Control-161,Award,"Met One Instruments, Inc.",162487.25,Full Waiver Granted,DNA,,,2,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160713-Intent_to_Award_EDS.pdf
07/08/2016,1525-15012,Kitchen Supplies,Juvenile Temporary Detent. Cntr - 440,Award,Tiles 'N Style dba Taza Supplies,150793.78,,DNA,,,DNA,DNA,,http://opendocs.cookcountyil.gov/procurement/intent-award/160713-Intent_to_Award_EDS.pdf
07/08/2016,1550-14939,Managed Security Service Provider,EMHS Homeland Security -769,Award,"SecureWorks, Inc.",2459632.50,,DNA,,,3,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160713-Intent_to_Award_EDS.pdf
07/08/2016,1550-14939,,,,,,"Ascent Innovations, LLC",MBE (8),38,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160713-Intent_to_Award_EDS.pdf
07/08/2016,1611-15249,Commericial Dish Machines,Office of the Sheriff - 210,Award,"Cooks Direct, Inc.",355957.34,,DNA,,,DNA,DNA,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160713-Intent_to_Award_EDS.pdf
07/08/2016,1553-14990,"Cleaning Supplies and Chemical Dispensing Systems (Laundry, Custodial, and Food Service)",Juvenile Temporary Detent. Cntr - 440,Award,"Valdes, LLC",184690.17,"Valdes, LLC",MBE (8),90,,3,1,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160713-Intent_to_Award_EDS.pdf
07/08/2016,1553-14990,,,,,,Arem Container and Supply Co.,WBE (7),10,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160713-Intent_to_Award_EDS.pdf
07/08/2016,1590-14410,Corrections Communication System,Office of the Chief Info. Officer - 009,Award,"Telmate, LLC",,,DNA,,,4,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160713-Intent_to_Award_EDS.pdf
07/08/2016,1590-14410,,,,,,Pittman & Mckeever LLC,MBE (6),6,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160713-Intent_to_Award_EDS.pdf
07/08/2016,1590-14410,,,,,,"Reyes Kurston, Ltd.",MBE (9),7,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160713-Intent_to_Award_EDS.pdf
07/08/2016,1590-14410,,,,,,MZI Group Inc.,MBE (9),5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160713-Intent_to_Award_EDS.pdf
07/08/2016,1590-14410,,,,,,Facility & Grounds Maintenance Services,MBE (6),5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160713-Intent_to_Award_EDS.pdf
07/29/2016,1555-14428,Lincoln Highway Logistic Corridor Strategic Plan,Transportation and Highways - 500,Award,"Parsons Brinckerhoff, Inc.",224894.03,,DNA,,,2,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160803-Intent_to_Award_EDS.pdf
07/29/2016,1555-14428,,,,,,"GSG Consultant, Inc.",DBE,10.1,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160803-Intent_to_Award_EDS.pdf
07/29/2016,1555-14428,,,,,,"Prime Focus, LLC",DBE,26.9,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160803-Intent_to_Award_EDS.pdf
09/09/2016,1645-15207,Parking Management Services at the Juvenile Temporary Detention Center,Dept of Facilities/Mgmt - 200,Award,"CPS Chicago Parking, LLC",2140194.00,,DNA,,,2,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160909-Intent_to_Award_EDS.pdf
09/09/2016,1645-15207,,,,,,LLC  Four Seasons Services,WBE (7),5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160909-Intent_to_Award_EDS.pdf
09/09/2016,1645-15207,,,,,,Gomez Transporation,MBE (9),12,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160909-Intent_to_Award_EDS.pdf
09/09/2016,1645-15297,Refrigerants,Dept of Facilities/Mgmt - 200,Award,"Atlas and Associates, Inc.",309877.50,,DNA,,,4,1,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160909-Intent_to_Award_EDS.pdf
09/09/2016,1645-15297,,,,,,"All Weather Specialists, Inc.",MBE (6),25,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160909-Intent_to_Award_EDS.pdf
09/09/2016,1518-14993,Employer Sponsored Dental Benefits,Risk Management - 008,Award,The Guardian Life Insurance Company of America,29470000.00,,DNA,,,3,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160909-Intent_to_Award_EDS.pdf
09/09/2016,1518-14993,,,,,,"Risk Management  and Information Systems, Inc.",WBE (6),5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160909-Intent_to_Award_EDS.pdf
09/09/2016,1518-14993,,,,,,"Risk Management Solutions of America, Inc.",MBE (6),30,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160909-Intent_to_Award_EDS.pdf
09/09/2016,1611-15572,Clearnet Records Management System,Office of the Sheriff - 210,Award,"Clarity Partners, LLC",1070202.00,,DNA,,,DNA,DNA,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160909-Intent_to_Award_EDS.pdf
09/09/2016,1685-15344,Roofing Supplies and Related Services,Dept of Facilities/Mgmt - 200,Award,"GARLAND/DBS, INC.",300000.00,,DNA,,,DNA,DNA,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160909-Intent_to_Award_EDS.pdf
09/09/2016,1618-15637,OnBase Enterprise Content Management System for Animal Control Rabies Tag Certification and Integrated Revenue,Animal Control Department - 510,Award,"Hyland Software, Inc.",1393330.70,,DNA,,,DNA,DNA,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160909-Intent_to_Award_EDS.pdf
09/09/2016,1618-15637,,,,,,"The Francis Group, Inc.",MBE (6),27.5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160909-Intent_to_Award_EDS.pdf
09/30/2016,1555-15033,"Criminal Courts Admnistration Building Renovation of Floors 7, 8 and 9",Capital Planning and Policy - 031,Award,Pagoda-CCI Joint Venture 1,3393000.00,,DNA,,,10,3,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160930-Intent_to_Award_EDS.pdf
09/30/2016,1555-15033,,,,,,"Pagoda Electric & Construction, Inc.",DBE,26.5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160930-Intent_to_Award_EDS.pdf
09/30/2016,1555-15033,,,,,,"Marketing Contracting Services, Inc.",DBE,8.5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160930-Intent_to_Award_EDS.pdf
09/30/2016,1555-15115,Capital Program Management Services,Capital Planning and Policy - 031,Award,STV/Heery Program Management,9601169.68,,DNA,,,5,1,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160930-Intent_to_Award_EDS.pdf
09/30/2016,1555-15115,,,,,,"Armore Associates, LLC",MBE (6),9.6,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160930-Intent_to_Award_EDS.pdf
09/30/2016,1555-15115,,,,,,"Altus Works, Inc.",WBE (7),3.3,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160930-Intent_to_Award_EDS.pdf
09/30/2016,1555-15115,,,,,,David Mason & Associates,MBE (6),0.5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160930-Intent_to_Award_EDS.pdf
09/30/2016,1555-15115,,,,,,McKissack & McKissack,MBE (6),12.3,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160930-Intent_to_Award_EDS.pdf
09/30/2016,1555-15115,,,,,,"Comprehensive Construction Consulting, Inc.",MBE (6),0.8,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160930-Intent_to_Award_EDS.pdf
09/30/2016,1555-15115,,,,,,R.M. Chin & Associates,MBE (8),8.9,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160930-Intent_to_Award_EDS.pdf
10/21/2016,1684-15226,"Maintenance, Repair, Parts & Labor for Buses and Heavy Duty Trucks (Zone 2)",*Countywide--Multiple Departments - 001,Award,"E & R Towing & Garage, Inc. dba Xpert Towing & Repair",351400.00,,DNA,,,3,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
10/21/2016,1645-15704,Police Interceptor Sedans,*Countywide--Multiple Departments - 001,Award,"Sutton Ford, Inc.",3476928.56,,DNA,,,2,2,true,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
10/21/2016,1626-15541,Enterprise License Agreement,Office of the Chief Info. Officer - 009,Award,ESRI,5940000.00,,DNA,,,DNA,DNA,true,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
10/21/2016,1626-15541,,,,,,"Scarfe Consulting, LLC",WBE (7),35,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
10/21/2016,1645-15455,Furnish and Installation of Carpet,Dept of Facilities/Mgmt - 200,Award,"Tiles in Styles, LLC d/b/a Taza Supplies LLC.",2856600.00,,DNA,,,1,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
10/21/2016,1645-15455,,,,,,"Tiles in Styles, LLC",MBE (8),25,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
10/21/2016,1635-15205,Electronic Pollbook Workstation and Protective Case,County Clerk - 110,Award,"Election Works, Inc.",978006.00,,DNA,,,1,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
10/21/2016,1653-15486A,"Violence Prevention, Intervention, and Reduction Demonstration Grants",Justice Advisory Council - 205,Award,Westside Health Authority,100000.00,,DNA,,,41,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
10/21/2016,1653-15486B,"Violence Prevention, Intervention, and Reduction Demonstration Grants",Justice Advisory Council - 205,Award,New Life Centers of Chicagoland,100000.00,,DNA,,,41,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
10/21/2016,1653-15486C,"Violence Prevention, Intervention, and Reduction Demonstration Grants",Justice Advisory Council - 205,Award,"Prologue, Inc.",100000.00,,DNA,,,41,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
10/21/2016,1653-15486D,"Violence Prevention, Intervention, and Reduction Demonstration Grants",Justice Advisory Council - 205,Award,The Miracle Center,100000.00,,DNA,,,41,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
10/21/2016,1653-15486E,"Violence Prevention, Intervention, and Reduction Demonstration Grants",Justice Advisory Council - 205,Award,Alliance for Local Service Organizations (ALSO),100000.00,,DNA,,,41,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
10/21/2016,1653-15486F,"Violence Prevention, Intervention, and Reduction Demonstration Grants",Justice Advisory Council - 205,Award,SOS Family Villages Illinois,100000.00,,DNA,,,41,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
10/21/2016,1653-15486G,"Violence Prevention, Intervention, and Reduction Demonstration Grants",Justice Advisory Council - 205,Award,Lights of Zion Ministries,100000.00,,DNA,,,41,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
10/21/2016,1653-15493A,"Violence Prevention, Intervention, and Reduction Demonstration Grants",Justice Advisory Council - 205,Award,Lawndale Christian Legal Center,40000.00,,DNA,,,26,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
10/21/2016,1653-15493B,"Violence Prevention, Intervention, and Reduction Demonstration Grants",Justice Advisory Council - 205,Award,"Growing Home, Inc.",40000.00,,DNA,,,26,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
10/21/2016,1653-15493C,"Violence Prevention, Intervention, and Reduction Demonstration Grants",Justice Advisory Council - 205,Award,"VOCEL Viewing Our Children as Emerging Leaders, d/b/a VOCEL",40000.00,,DNA,,,26,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
10/21/2016,1653-15493D,"Violence Prevention, Intervention, and Reduction Demonstration Grants",Justice Advisory Council - 205,Award,Fathers Who Care,40000.00,,DNA,,,26,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
10/21/2016,1653-15493E,"Violence Prevention, Intervention, and Reduction Demonstration Grants",Justice Advisory Council - 205,Award,Dr. Pedro Albizu Campos Puerto Rican High School,40000.00,,DNA,,,26,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
10/21/2016,1653-15493F,"Violence Prevention, Intervention, and Reduction Demonstration Grants",Justice Advisory Council - 205,Award,Prevention Partnership,40000.00,,DNA,,,26,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
10/21/2016,1653-15493G,"Violence Prevention, Intervention, and Reduction Demonstration Grants",Justice Advisory Council - 205,Award,James Moran Center for Youth Advocacy,40000.00,,DNA,,,26,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
10/21/2016,1653-15493H,"Violence Prevention, Intervention, and Reduction Demonstration Grants",Justice Advisory Council - 205,Award,Latinos Progresando,40000.00,,DNA,,,26,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
10/21/2016,1653-15478N,Violence Prevention Capacity Building Grants,Justice Advisory Council - 205,Award,BBF Family Services,10000.00,,DNA,,,8,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
10/21/2016,1653-15478O,Violence Prevention Capacity Building Grants,Justice Advisory Council - 205,Award,Claretian and Associates,10000.00,,DNA,,,8,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
10/21/2016,1653-15478P,Violence Prevention Capacity Building Grants,Justice Advisory Council - 205,Award,NEBC Employment Resource Services,10000.00,,DNA,,,8,0,true,http://opendocs.cookcountyil.gov/procurement/intent-award/161026-Intent_to_Award_EDS.pdf
